recipe,recipe_type,dc_setting,rf_setting,n_samples,MAE,RMSE,R2,MAPE,Error_Pct,actual_mean,actual_std
DC3000RF400(2),DC_RF,3000,400,56,3914.8571428571427,5075.004067556428,0.7948282798445578,0.0018486005588198404,0.0023963981465803435,211776330.85714287,11204.117246142425
DC3000RF400(3),DC_RF,3000,400,56,10643.714285714286,16596.167406103996,-0.470483468675166,0.005025744398482072,0.007836648685283158,211776335.42857143,13686.03775340968
DC3000RF500(1),DC_RF,3000,500,58,6960.827586206897,20024.14200839611,0.0020998610338474055,0.003286734171635352,0.009452512302296361,211839364.68965518,20045.199134754486
DC3000RF500(2),DC_RF,3000,500,58,7019.0344827586205,19617.07731755061,0.0035472822280170346,0.003314162061311945,0.00926034101877867,211839685.79310346,19651.96381408986
DC3000RF500(3),DC_RF,3000,500,58,6986.482758620689,18422.970010288787,0.00021949687283195907,0.003298695095050158,0.008696645781998788,211839949.24137932,18424.992235351703
DCignRF300(1),RF_only,0,300,58,4698.758620689655,19683.329911724617,0.009889330223789128,0.0022189189347722785,0.009291638627937223,211839167.44827586,19781.385265090645
DCignRF300(2),RF_only,0,300,56,1711.142857142857,2295.308009209844,-0.5127397148631869,0.0008077407809918541,0.0010834928035196637,211843401.42857143,1866.2029331653894
DCignRF300(3),RF_only,0,300,56,1559.7142857142858,1964.965139639887,-0.381440471012499,0.0007362509726195532,0.0009275478913697712,211845141.14285713,1671.817097700363
DCignRF400(1),RF_only,0,400,57,2934.7368421052633,4007.6025996212784,-0.19181027531965578,0.0013853747136881951,0.0018918080200882252,211839814.45614034,3670.972126472699
DCignRF400(2),RF_only,0,400,57,5816.140350877193,7521.26424609913,0.6801229770228328,0.0027458186588214728,0.00355067258089694,211826465.9649123,13298.397932747997
DCignRF400(3),RF_only,0,400,56,5907.714285714285,7972.149521929453,-0.18207793641348613,0.002788914320385933,0.00376338698642802,211834434.0,7332.50520432332
DCignRF500(1),RF_only,0,500,58,6449.103448275862,19739.439030564656,-0.00014181733550433506,0.0030451259712598665,0.009318052652098417,211840818.75862068,19738.03948209924
DCignRF500(2),RF_only,0,500,57,2793.5438596491226,3693.5135556763444,-0.05251819318491391,0.001318719206869047,0.0017435402751556943,211839875.92982456,3600.18560856632
DCignRF500(3),RF_only,0,500,57,4391.578947368421,14275.817757017598,-0.001433732275611721,0.0020734661361881588,0.006738887177268258,211842361.82456142,14265.594897997864
